Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Churn Value
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157,3239,1
0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925,2701,1
0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104,5372,1
0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646,5003,1
1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265,5340,1
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416,5925,1
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340,5433,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,4832,1
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,5789,1
1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592,2915,1
0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184,3022,1
1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,2454,1
1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,2941,1
0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,5674,1
0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,5586,1
0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,2966,1
0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,5302,1
1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,3179,1
0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,5571,1
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,2483,1
0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,3457,1
0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,5806,1
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,2604,1
0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,5337,1
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5833,5034,1
1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,5154,1
0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,2793,1
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,5998,1
1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,4415,1
0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,4638,1
0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,4190,1
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,2301,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,2570,1
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,3964,1
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,2662,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,2600,1
1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236,2786,1
