Feature,Importance
Contract,0.39157033
Online Security,0.097342685
Dependents,0.08342123
Tech Support,0.062289767
Internet Service,0.058689035
Tenure Months,0.032971527
Streaming Movies,0.030227164
Phone Service,0.028862817
Multiple Lines,0.02731017
Paperless Billing,0.027072636
Monthly Charges,0.024138873
Partner,0.018452445
Payment Method,0.017818578
Total Charges,0.016256576
Online Backup,0.015557077
Gender,0.015533346
Streaming TV,0.015505647
CLTV,0.014383642
Device Protection,0.011738663
Senior Citizen,0.010857763
